timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,before_smote,after_smote,time_sec
2026-06-08 13:06:27,random_search,80/10/10,SVM,7,2,0.9411,0.9414,0.9411,0.9411,0.9399,0.9415,0.9406,0.9462,0.9368,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",562.82
2026-06-08 13:16:21,random_search,80/10/10,SVM,7,3,0.9402,0.9406,0.9402,0.9402,0.939,0.9408,0.9397,0.9476,0.9341,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",593.66
2026-06-08 13:39:39,random_search,80/10/10,SVM,8,1,0.9115,0.9122,0.9115,0.9116,0.9101,0.9122,0.9109,0.9198,0.9047,"{""1"": 25429, ""0"": 30905}","{""1"": 30905, ""0"": 30905}",386.88
2026-06-08 13:46:03,random_search,80/10/10,SVM,8,2,0.9198,0.9204,0.9198,0.9199,0.9184,0.9205,0.9192,0.928,0.913,"{""0"": 30905, ""1"": 25429}","{""0"": 30905, ""1"": 30905}",384.74
2026-06-08 13:52:07,random_search,80/10/10,SVM,8,3,0.916,0.9164,0.916,0.916,0.9147,0.9162,0.9153,0.9191,0.9134,"{""1"": 25430, ""0"": 30904}","{""1"": 30904, ""0"": 30904}",363.46
2026-06-08 14:04:18,random_search,70/15/15,RandomForest,1,1,0.9518,0.9519,0.9518,0.9518,0.9509,0.9518,0.9513,0.9527,0.951,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",66.13
2026-06-08 14:05:18,random_search,70/15/15,RandomForest,1,2,0.9512,0.9513,0.9512,0.9512,0.9518,0.9497,0.9507,0.9339,0.9655,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",60.0
2026-06-08 14:06:13,random_search,70/15/15,RandomForest,1,3,0.9509,0.951,0.9509,0.951,0.9503,0.9507,0.9505,0.9477,0.9536,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",54.39
2026-06-08 14:08:43,random_search,70/15/15,RandomForest,2,1,0.9292,0.9306,0.9292,0.9293,0.9279,0.931,0.9288,0.9491,0.9128,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",51.54
2026-06-08 14:09:40,random_search,70/15/15,RandomForest,2,2,0.9262,0.9269,0.9262,0.9263,0.9249,0.9271,0.9257,0.9359,0.9183,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",57.27
2026-06-08 14:10:39,random_search,70/15/15,RandomForest,2,3,0.9289,0.9301,0.9289,0.929,0.9275,0.9305,0.9285,0.9467,0.9142,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",59.08
2026-06-08 14:13:13,random_search,70/15/15,RandomForest,3,1,0.9481,0.9485,0.9481,0.9481,0.9469,0.9489,0.9477,0.9571,0.9406,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",64.48
2026-06-08 14:14:18,random_search,70/15/15,RandomForest,3,2,0.9466,0.9467,0.9466,0.9466,0.9457,0.9466,0.9462,0.9469,0.9464,"{""1"": 22251, ""0"": 27041}","{""1"": 27041, ""0"": 27041}",65.42
2026-06-08 14:15:35,random_search,70/15/15,RandomForest,3,3,0.9475,0.9478,0.9475,0.9475,0.9463,0.9481,0.9471,0.9542,0.9419,"{""0"": 27041, ""1"": 22251}","{""0"": 27041, ""1"": 27041}",76.61
2026-06-08 14:18:11,random_search,70/15/15,RandomForest,4,1,0.9193,0.9212,0.9193,0.9194,0.918,0.9214,0.9189,0.9432,0.8996,"{""1"": 22250, ""0"": 27042}","{""1"": 27042, ""0"": 27042}",55.48
