timestamp,search_type,split,model,config_id,fold,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,scam_recall,nonscam_recall,time_sec
2026-06-12 06:11:43,random_search,80/10/10,MLP,5,2,0.9687,0.9687,0.9687,0.9687,0.9684,0.9684,0.9684,0.9656,0.9712,32.13
2026-06-12 06:11:55,random_search,80/10/10,MLP,4,3,0.9674,0.9674,0.9674,0.9674,0.9673,0.9668,0.967,0.9613,0.9724,35.11
2026-06-12 06:11:56,random_search,80/10/10,MLP,5,2,0.9698,0.9698,0.9698,0.9698,0.9694,0.9695,0.9695,0.9672,0.9719,38.59
2026-06-12 06:12:24,random_search,80/10/10,MLP,5,3,0.9693,0.9693,0.9693,0.9693,0.9691,0.969,0.969,0.9653,0.9726,40.98
2026-06-12 06:12:36,random_search,80/10/10,MLP,5,3,0.9703,0.9703,0.9703,0.9703,0.9698,0.9702,0.97,0.9692,0.9711,39.9
2026-06-12 06:13:14,random_search,80/10/10,MLP,5,1,0.9702,0.9702,0.9702,0.9702,0.9695,0.9704,0.9699,0.9726,0.9682,38.06
2026-06-12 06:14:31,random_search,80/10/10,MLP,5,2,0.9698,0.9698,0.9698,0.9698,0.9694,0.9695,0.9695,0.9672,0.9719,77.12
2026-06-12 06:15:45,random_search,80/10/10,MLP,5,3,0.9703,0.9703,0.9703,0.9703,0.9698,0.9702,0.97,0.9692,0.9711,74.19
2026-06-12 06:16:09,random_search,80/10/10,MLP,6,1,0.9759,0.9759,0.9759,0.9759,0.9755,0.9759,0.9757,0.9759,0.9759,180.07
2026-06-12 06:16:30,random_search,80/10/10,MLP,6,1,0.9765,0.9765,0.9765,0.9765,0.9764,0.9762,0.9763,0.9728,0.9795,185.16
2026-06-12 06:19:36,random_search,80/10/10,MLP,6,2,0.9746,0.9746,0.9746,0.9746,0.9743,0.9744,0.9743,0.9722,0.9765,207.37
2026-06-12 06:20:36,random_search,80/10/10,MLP,6,1,0.9765,0.9765,0.9765,0.9765,0.9764,0.9762,0.9763,0.9728,0.9795,225.52
2026-06-12 06:20:43,random_search,80/10/10,MLP,6,2,0.975,0.975,0.975,0.975,0.975,0.9745,0.9747,0.9699,0.9792,252.83
2026-06-12 06:23:20,random_search,80/10/10,MLP,6,3,0.9743,0.9743,0.9743,0.9742,0.9744,0.9736,0.974,0.9667,0.9805,223.34
2026-06-12 06:24:09,random_search,80/10/10,MLP,6,3,0.9697,0.97,0.9697,0.9697,0.9686,0.9705,0.9694,0.9791,0.9619,206.02
2026-06-12 06:24:13,random_search,80/10/10,MLP,6,2,0.975,0.975,0.975,0.975,0.975,0.9745,0.9747,0.9699,0.9792,217.46
2026-06-12 06:27:37,random_search,80/10/10,MLP,6,3,0.9697,0.97,0.9697,0.9697,0.9686,0.9705,0.9694,0.9791,0.9619,203.88
2026-06-12 06:29:46,random_search,80/10/10,MLP,7,1,0.9717,0.9717,0.9717,0.9717,0.9713,0.9716,0.9714,0.9704,0.9728,96.77
2026-06-12 06:30:32,random_search,80/10/10,MLP,7,1,0.9742,0.9742,0.9742,0.9742,0.9739,0.974,0.974,0.9722,0.9759,78.97
2026-06-12 06:30:59,random_search,80/10/10,MLP,7,2,0.9736,0.9736,0.9736,0.9736,0.9734,0.9732,0.9733,0.9695,0.9769,72.93
2026-06-12 06:31:46,random_search,80/10/10,MLP,7,2,0.9732,0.9732,0.9732,0.9732,0.9732,0.9726,0.9729,0.9669,0.9784,74.05
2026-06-12 06:32:04,random_search,80/10/10,MLP,7,3,0.9735,0.9736,0.9735,0.9736,0.973,0.9736,0.9733,0.9745,0.9728,64.32
2026-06-12 06:32:46,random_search,80/10/10,MLP,7,1,0.9742,0.9742,0.9742,0.9742,0.9739,0.974,0.974,0.9722,0.9759,64.45
2026-06-12 06:32:47,random_search,80/10/10,MLP,7,3,0.973,0.9731,0.973,0.973,0.9727,0.9728,0.9728,0.9707,0.975,60.82
2026-06-12 06:33:45,random_search,80/10/10,MLP,7,2,0.9732,0.9732,0.9732,0.9732,0.9732,0.9726,0.9729,0.9669,0.9784,58.72
2026-06-12 06:34:18,random_search,80/10/10,MLP,8,1,0.9686,0.9689,0.9686,0.9686,0.9676,0.9693,0.9684,0.9763,0.9623,75.82
2026-06-12 06:34:44,random_search,80/10/10,MLP,7,3,0.973,0.9731,0.973,0.973,0.9727,0.9728,0.9728,0.9707,0.975,58.5
2026-06-12 06:35:01,random_search,80/10/10,MLP,8,1,0.9692,0.9692,0.9692,0.9692,0.9692,0.9687,0.9689,0.963,0.9743,68.69
2026-06-12 06:35:32,random_search,80/10/10,MLP,8,2,0.9681,0.9681,0.9681,0.9681,0.9679,0.9678,0.9678,0.9644,0.9712,74.81
2026-06-12 06:36:09,random_search,80/10/10,MLP,8,2,0.969,0.969,0.969,0.969,0.969,0.9685,0.9687,0.9625,0.9744,67.12
2026-06-12 06:36:41,random_search,80/10/10,MLP,8,3,0.9657,0.9661,0.9657,0.9657,0.9646,0.9666,0.9654,0.976,0.9572,69.04
2026-06-12 06:36:47,random_search,80/10/10,MLP,8,1,0.9692,0.9692,0.9692,0.9692,0.9692,0.9687,0.9689,0.963,0.9743,64.66
2026-06-12 06:37:10,random_search,80/10/10,MLP,8,3,0.966,0.9663,0.966,0.966,0.965,0.9667,0.9658,0.9743,0.9592,61.39
2026-06-12 06:37:54,random_search,80/10/10,MLP,8,2,0.969,0.969,0.969,0.969,0.969,0.9685,0.9687,0.9625,0.9744,66.73
2026-06-12 06:40:06,random_search,80/10/10,MLP,8,3,0.966,0.9663,0.966,0.966,0.965,0.9667,0.9658,0.9743,0.9592,132.1
2026-06-12 06:40:24,random_search,70/15/15,CNN,1,1,0.9734,0.9734,0.9734,0.9734,0.973,0.9733,0.9731,0.9727,0.974,145.09
2026-06-12 06:41:25,random_search,70/15/15,CNN,1,1,0.9722,0.9722,0.9722,0.9722,0.9725,0.9714,0.9719,0.9633,0.9795,161.34
2026-06-12 06:43:17,random_search,70/15/15,CNN,1,2,0.9746,0.9747,0.9746,0.9746,0.9741,0.9747,0.9744,0.9752,0.9742,173.16
2026-06-12 06:44:33,random_search,70/15/15,CNN,1,2,0.9742,0.9742,0.9742,0.9742,0.9738,0.9741,0.974,0.9736,0.9747,188.29
2026-06-12 06:46:15,random_search,70/15/15,CNN,1,1,0.9722,0.9722,0.9722,0.9722,0.9725,0.9714,0.9719,0.9633,0.9795,208.1
2026-06-12 06:46:48,random_search,70/15/15,CNN,1,3,0.9753,0.9754,0.9753,0.9753,0.9759,0.9743,0.975,0.9639,0.9846,211.03
2026-06-12 06:47:10,random_search,70/15/15,CNN,1,3,0.9714,0.9714,0.9714,0.9714,0.9718,0.9705,0.9711,0.9609,0.98,156.4
2026-06-12 06:49:48,random_search,70/15/15,CNN,1,2,0.9742,0.9742,0.9742,0.9742,0.9738,0.9741,0.974,0.9736,0.9747,213.27
2026-06-12 06:51:59,random_search,70/15/15,CNN,1,3,0.9714,0.9714,0.9714,0.9714,0.9718,0.9705,0.9711,0.9609,0.98,131.4
2026-06-12 06:52:14,random_search,70/15/15,CNN,2,1,0.9711,0.9712,0.9711,0.9711,0.9704,0.9714,0.9709,0.9745,0.9683,104.09
2026-06-12 06:52:41,random_search,70/15/15,CNN,2,1,0.9687,0.9688,0.9687,0.9687,0.9681,0.9688,0.9684,0.9693,0.9682,59.23
2026-06-12 06:53:24,random_search,70/15/15,CNN,2,2,0.9701,0.9701,0.9701,0.9701,0.9699,0.9697,0.9698,0.9662,0.9733,70.24
2026-06-12 06:53:52,random_search,70/15/15,CNN,2,2,0.9715,0.9715,0.9715,0.9715,0.9711,0.9714,0.9712,0.9699,0.9729,70.26
2026-06-12 06:54:35,random_search,70/15/15,CNN,2,3,0.9707,0.9707,0.9707,0.9707,0.9704,0.9704,0.9704,0.9677,0.9731,70.84
2026-06-12 06:54:48,random_search,70/15/15,CNN,2,3,0.9702,0.9702,0.9702,0.9702,0.9702,0.9695,0.9699,0.9629,0.9761,56.76
2026-06-12 06:55:38,random_search,70/15/15,CNN,2,1,0.9687,0.9688,0.9687,0.9687,0.9681,0.9688,0.9684,0.9693,0.9682,53.8
2026-06-12 06:56:36,random_search,70/15/15,CNN,2,2,0.9715,0.9715,0.9715,0.9715,0.9711,0.9714,0.9712,0.9699,0.9729,57.94
2026-06-12 06:56:54,random_search,70/15/15,CNN,3,1,0.971,0.971,0.971,0.971,0.9706,0.9708,0.9707,0.9693,0.9723,76.48
2026-06-12 06:56:59,random_search,70/15/15,CNN,3,1,0.97,0.97,0.97,0.97,0.9694,0.97,0.9697,0.9702,0.9698,75.3
2026-06-12 06:57:38,random_search,70/15/15,CNN,2,3,0.9702,0.9702,0.9702,0.9702,0.9702,0.9695,0.9699,0.9629,0.9761,62.43
2026-06-12 06:58:10,random_search,70/15/15,CNN,3,2,0.9719,0.9719,0.9719,0.9719,0.9718,0.9714,0.9716,0.9668,0.976,76.32
2026-06-12 06:58:14,random_search,70/15/15,CNN,3,2,0.9723,0.9723,0.9723,0.9723,0.9725,0.9716,0.972,0.964,0.9791,75.33
2026-06-12 06:59:33,random_search,70/15/15,CNN,3,3,0.9718,0.9718,0.9718,0.9718,0.9717,0.9715,0.9716,0.9676,0.9753,83.56
2026-06-12 06:59:41,random_search,70/15/15,CNN,3,3,0.9736,0.9736,0.9736,0.9736,0.9731,0.9737,0.9733,0.9745,0.9729,87.03
2026-06-12 07:00:19,random_search,70/15/15,CNN,3,1,0.97,0.97,0.97,0.97,0.9694,0.97,0.9697,0.9702,0.9698,91.21
2026-06-12 07:01:54,random_search,70/15/15,CNN,3,2,0.9723,0.9723,0.9723,0.9723,0.9725,0.9716,0.972,0.964,0.9791,94.99
2026-06-12 07:02:50,random_search,70/15/15,CNN,4,1,0.9724,0.9726,0.9724,0.9724,0.9715,0.973,0.9722,0.9787,0.9672,75.74
2026-06-12 07:03:13,random_search,70/15/15,CNN,3,3,0.9736,0.9736,0.9736,0.9736,0.9731,0.9737,0.9733,0.9745,0.9729,79.3
2026-06-12 07:03:20,random_search,70/15/15,CNN,4,1,0.9731,0.9732,0.9731,0.9731,0.9724,0.9734,0.9729,0.9766,0.9702,67.07
2026-06-12 07:04:05,random_search,70/15/15,CNN,4,2,0.9748,0.9749,0.9748,0.9748,0.9743,0.9749,0.9746,0.9759,0.974,75.16
2026-06-12 07:04:29,random_search,70/15/15,CNN,4,2,0.9734,0.9734,0.9734,0.9734,0.9738,0.9725,0.9731,0.9629,0.982,69.04
2026-06-12 07:05:23,random_search,70/15/15,CNN,4,3,0.9758,0.9758,0.9758,0.9758,0.9758,0.9753,0.9756,0.9704,0.9803,77.09
2026-06-12 07:05:36,random_search,70/15/15,CNN,4,3,0.9751,0.9751,0.9751,0.9751,0.9752,0.9746,0.9749,0.969,0.9802,66.82
2026-06-12 07:06:39,random_search,70/15/15,CNN,4,1,0.9731,0.9732,0.9731,0.9731,0.9724,0.9734,0.9729,0.9766,0.9702,76.73
2026-06-12 07:08:07,random_search,70/15/15,CNN,4,2,0.9734,0.9734,0.9734,0.9734,0.9738,0.9725,0.9731,0.9629,0.982,87.99
2026-06-12 07:08:46,random_search,70/15/15,CNN,5,1,0.9711,0.9711,0.9711,0.9711,0.9706,0.971,0.9708,0.9703,0.9717,113.01
2026-06-12 07:09:32,random_search,70/15/15,CNN,5,1,0.974,0.974,0.974,0.974,0.9738,0.9738,0.9738,0.9714,0.9762,154.3
2026-06-12 07:09:34,random_search,70/15/15,CNN,4,3,0.9751,0.9751,0.9751,0.9751,0.9752,0.9746,0.9749,0.969,0.9802,86.89
2026-06-12 07:10:37,random_search,70/15/15,CNN,5,2,0.9731,0.9731,0.9731,0.9731,0.9735,0.9722,0.9728,0.9626,0.9817,110.99
2026-06-12 07:11:17,random_search,70/15/15,CNN,5,2,0.9737,0.9737,0.9737,0.9737,0.9739,0.973,0.9734,0.9657,0.9803,104.71
2026-06-12 07:13:15,random_search,70/15/15,CNN,5,3,0.9776,0.9776,0.9776,0.9776,0.9776,0.9771,0.9773,0.9723,0.9819,157.98
2026-06-12 07:13:17,random_search,70/15/15,CNN,5,3,0.9731,0.9731,0.9731,0.9731,0.9733,0.9724,0.9728,0.965,0.9797,120.15
2026-06-12 07:15:03,random_search,70/15/15,CNN,5,1,0.974,0.974,0.974,0.974,0.9738,0.9738,0.9738,0.9714,0.9762,183.04
2026-06-12 07:17:04,random_search,70/15/15,CNN,5,2,0.9737,0.9737,0.9737,0.9737,0.9739,0.973,0.9734,0.9657,0.9803,121.26
2026-06-12 07:18:05,random_search,70/15/15,CNN,6,1,0.9692,0.9695,0.9692,0.9692,0.9682,0.97,0.969,0.9786,0.9615,119.99
2026-06-12 07:18:19,random_search,70/15/15,CNN,5,3,0.9731,0.9731,0.9731,0.9731,0.9733,0.9724,0.9728,0.965,0.9797,74.94
2026-06-12 07:18:24,random_search,70/15/15,CNN,6,1,0.9708,0.9708,0.9708,0.9708,0.9703,0.9708,0.9705,0.9706,0.9709,128.04
2026-06-12 07:20:15,random_search,70/15/15,CNN,6,2,0.9716,0.9716,0.9716,0.9716,0.9712,0.9715,0.9714,0.9701,0.9729,129.56
2026-06-12 07:20:25,random_search,70/15/15,CNN,6,2,0.9712,0.9712,0.9712,0.9712,0.9714,0.9705,0.9709,0.9631,0.9779,121.03
2026-06-12 07:21:15,random_search,70/15/15,CNN,6,1,0.9692,0.9695,0.9692,0.9692,0.9682,0.97,0.969,0.9786,0.9615,70.61
